id,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
264,214,Mega Heracross,2,Normal,Single Horn,2,Bug,Fighting,1.7,62.5,1,Skill Link,None,None,600,80,185,115,40,105,75,45.0,70.0,210.0,Slow,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
265,215,Sneasel,2,Normal,Sharp Claw,2,Dark,Ice,0.9,28.0,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60.0,35.0,86.0,Medium Slow,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
266,216,Teddiursa,2,Normal,Little Bear,1,Normal,None,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120.0,70.0,66.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
267,217,Ursaring,2,Normal,Hibernator,1,Normal,None,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60.0,70.0,175.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
268,218,Slugma,2,Normal,Lava,1,Fire,None,0.7,35.0,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190.0,70.0,50.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
269,219,Magcargo,2,Normal,Lava,2,Fire,Rock,0.8,55.0,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75.0,70.0,151.0,Medium Fast,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
270,220,Swinub,2,Normal,Pig,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225.0,70.0,50.0,Slow,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
271,221,Piloswine,2,Normal,Swine,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75.0,70.0,158.0,Slow,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
272,222,Corsola,2,Normal,Coral,2,Water,Rock,0.6,5.0,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60.0,70.0,144.0,Fast,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
273,222,Galarian Corsola,2,Normal,Coral,1,Ghost,None,0.6,0.5,2,Weak Armor,None,Cursed Body,410,60,55,100,65,100,30,,,,Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
274,223,Remoraid,2,Normal,Jet,1,Water,None,0.6,12.0,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190.0,70.0,60.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
275,224,Octillery,2,Normal,Jet,1,Water,None,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75.0,70.0,168.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
276,225,Delibird,2,Normal,Delivery,2,Ice,Flying,0.9,16.0,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45.0,70.0,116.0,Fast,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
277,226,Mantine,2,Normal,Kite,2,Water,Flying,2.1,220.0,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25.0,70.0,170.0,Slow,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
278,227,Skarmory,2,Normal,Armor Bird,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25.0,70.0,163.0,Slow,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
279,228,Houndour,2,Normal,Dark,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120.0,35.0,66.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
280,229,Houndoom,2,Normal,Dark,2,Dark,Fire,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45.0,35.0,175.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
281,229,Mega Houndoom,2,Normal,Dark,2,Dark,Fire,1.9,49.5,1,Solar Power,None,None,600,75,90,90,140,90,115,45.0,35.0,210.0,Slow,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
282,230,Kingdra,2,Normal,Dragon,2,Water,Dragon,1.8,152.0,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45.0,70.0,243.0,Medium Fast,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
283,231,Phanpy,2,Normal,Long Nose,1,Ground,None,0.5,33.5,2,Pickup,None,Sand Veil,330,90,60,60,40,40,40,120.0,70.0,66.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
284,232,Donphan,2,Normal,Armor,1,Ground,None,1.1,120.0,2,Sturdy,None,Sand Veil,500,90,120,120,60,60,50,60.0,70.0,175.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
285,233,Porygon2,2,Normal,Virtual,1,Normal,None,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45.0,70.0,180.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
286,234,Stantler,2,Normal,Big Horn,1,Normal,None,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45.0,70.0,163.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
287,235,Smeargle,2,Normal,Painter,1,Normal,None,1.2,58.0,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45.0,70.0,88.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
288,236,Tyrogue,2,Normal,Scuffle,1,Fighting,None,0.7,21.0,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75.0,70.0,42.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
289,237,Hitmontop,2,Normal,Handstand,1,Fighting,None,1.4,48.0,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45.0,70.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
290,238,Smoochum,2,Normal,Kiss,2,Ice,Psychic,0.4,6.0,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45.0,70.0,61.0,Medium Fast,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
291,239,Elekid,2,Normal,Electric,1,Electric,None,0.6,23.5,2,Static,None,Vital Spirit,360,45,63,37,65,55,95,45.0,70.0,72.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
292,240,Magby,2,Normal,Live Coal,1,Fire,None,0.7,21.4,2,Flame Body,None,Vital Spirit,365,45,75,37,70,55,83,45.0,70.0,73.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
293,241,Miltank,2,Normal,Milk Cow,1,Normal,None,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45.0,70.0,172.0,Slow,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
294,242,Blissey,2,Normal,Happiness,1,Normal,None,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30.0,140.0,608.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
295,243,Raikou,2,Sub Legendary,Thunder,1,Electric,None,1.9,178.0,2,Pressure,None,Inner Focus,580,90,85,75,115,100,115,3.0,35.0,261.0,Slow,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
296,244,Entei,2,Sub Legendary,Volcano,1,Fire,None,2.1,198.0,2,Pressure,None,Inner Focus,580,115,115,85,90,75,100,3.0,35.0,261.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
297,245,Suicune,2,Sub Legendary,Aurora,1,Water,None,2.0,187.0,2,Pressure,None,Inner Focus,580,100,75,115,90,115,85,3.0,35.0,261.0,Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
298,246,Larvitar,2,Normal,Rock Skin,2,Rock,Ground,0.6,72.0,2,Guts,None,Sand Veil,300,50,64,50,45,50,41,45.0,35.0,60.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
299,247,Pupitar,2,Normal,Hard Shell,2,Rock,Ground,1.2,152.0,1,Shed Skin,None,None,410,70,84,70,65,70,51,45.0,35.0,144.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
300,248,Tyranitar,2,Normal,Armor,2,Rock,Dark,2.0,202.0,2,Sand Stream,None,Unnerve,600,100,134,110,95,100,61,45.0,35.0,270.0,Slow,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
301,248,Mega Tyranitar,2,Normal,Armor,2,Rock,Dark,2.5,255.0,1,Sand Stream,None,None,700,100,164,150,95,120,71,45.0,35.0,315.0,Slow,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
302,249,Lugia,2,Legendary,Diving,2,Psychic,Flying,5.2,216.0,2,Pressure,None,Multiscale,680,106,90,130,90,154,110,3.0,0.0,306.0,Slow,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
303,250,Ho-oh,2,Legendary,Rainbow,2,Fire,Flying,3.8,199.0,2,Pressure,None,Regenerator,680,106,130,90,110,154,90,3.0,0.0,306.0,Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
304,251,Celebi,2,Mythical,Time Travel,2,Psychic,Grass,0.6,5.0,1,Natural Cure,None,None,600,100,100,100,100,100,100,45.0,100.0,270.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
305,252,Treecko,3,Normal,Wood Gecko,1,Grass,None,0.5,5.0,2,Overgrow,None,Unburden,310,40,45,35,65,55,70,45.0,70.0,62.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
306,253,Grovyle,3,Normal,Wood Gecko,1,Grass,None,0.9,21.6,2,Overgrow,None,Unburden,405,50,65,45,85,65,95,45.0,70.0,142.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
307,254,Sceptile,3,Normal,Forest,1,Grass,None,1.7,52.2,2,Overgrow,None,Unburden,530,70,85,65,105,85,120,45.0,70.0,239.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
308,254,Mega Sceptile,3,Normal,Forest,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,None,None,630,70,110,75,145,85,145,45.0,70.0,284.0,Medium Slow,1.0,1.0,0.25,0.0,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
309,255,Torchic,3,Normal,Chick,1,Fire,None,0.4,2.5,2,Blaze,None,Speed Boost,310,45,60,40,70,50,45,45.0,70.0,62.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
310,256,Combusken,3,Normal,Young Fowl,2,Fire,Fighting,0.9,19.5,2,Blaze,None,Speed Boost,405,60,85,60,85,60,55,45.0,70.0,142.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
311,257,Blaziken,3,Normal,Blaze,2,Fire,Fighting,1.9,52.0,2,Blaze,None,Speed Boost,530,80,120,70,110,70,80,45.0,70.0,239.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
312,257,Mega Blaziken,3,Normal,Blaze,2,Fire,Fighting,1.9,52.0,1,Speed Boost,None,None,630,80,160,80,130,80,100,45.0,70.0,284.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
313,258,Mudkip,3,Normal,Mud Fish,1,Water,None,0.4,7.6,2,Torrent,None,Damp,310,50,70,50,50,50,40,45.0,70.0,62.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
314,259,Marshtomp,3,Normal,Mud Fish,2,Water,Ground,0.7,28.0,2,Torrent,None,Damp,405,70,85,70,60,70,50,45.0,70.0,142.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
315,260,Swampert,3,Normal,Mud Fish,2,Water,Ground,1.5,81.9,2,Torrent,None,Damp,535,100,110,90,85,90,60,45.0,70.0,241.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
316,260,Mega Swampert,3,Normal,Mud Fish,2,Water,Ground,1.9,102.0,1,Swift Swim,None,None,635,100,150,110,95,110,70,45.0,70.0,286.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
317,261,Poochyena,3,Normal,Bite,1,Dark,None,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,255.0,70.0,56.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
318,262,Mightyena,3,Normal,Bite,1,Dark,None,1.0,37.0,3,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,127.0,70.0,147.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
319,263,Zigzagoon,3,Normal,TinyRaccoon,1,Normal,None,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255.0,70.0,56.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
320,263,Galarian Zigzagoon,3,Normal,Tiny Raccoon,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,,,,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
321,264,Linoone,3,Normal,Rushing,1,Normal,None,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90.0,70.0,147.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
322,264,Galarian Linoone,3,Normal,Rushing,2,Dark,Normal,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,,,,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
323,265,Wurmple,3,Normal,Worm,1,Bug,None,0.3,3.6,2,Shield Dust,None,Run Away,195,45,45,35,20,30,20,255.0,70.0,56.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
324,266,Silcoon,3,Normal,Cocoon,1,Bug,None,0.6,10.0,1,Shed Skin,None,None,205,50,35,55,25,25,15,120.0,70.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
325,267,Beautifly,3,Normal,Butterfly,2,Bug,Flying,1.0,28.4,2,Swarm,None,Rivalry,395,60,70,50,100,50,65,45.0,70.0,178.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
326,268,Cascoon,3,Normal,Cocoon,1,Bug,None,0.7,11.5,1,Shed Skin,None,None,205,50,35,55,25,25,15,120.0,70.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
327,269,Dustox,3,Normal,Poison Moth,2,Bug,Poison,1.2,31.6,2,Shield Dust,None,Compound Eyes,385,60,50,70,50,90,65,45.0,70.0,173.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
328,270,Lotad,3,Normal,Water Weed,2,Water,Grass,0.5,2.6,3,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30,255.0,70.0,44.0,Medium Slow,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
329,271,Lombre,3,Normal,Jolly,2,Water,Grass,1.2,32.5,3,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50,120.0,70.0,119.0,Medium Slow,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
330,272,Ludicolo,3,Normal,Carefree,2,Water,Grass,1.5,55.0,3,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70,45.0,70.0,216.0,Medium Slow,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
331,273,Seedot,3,Normal,Acorn,1,Grass,None,0.5,4.0,3,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30,255.0,70.0,44.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
332,274,Nuzleaf,3,Normal,Wily,2,Grass,Dark,1.0,28.0,3,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60,120.0,70.0,119.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
333,275,Shiftry,3,Normal,Wicked,2,Grass,Dark,1.3,59.6,3,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80,45.0,70.0,216.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
334,276,Taillow,3,Normal,TinySwallow,2,Normal,Flying,0.3,2.3,2,Guts,None,Scrappy,270,40,55,30,30,30,85,200.0,70.0,54.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
335,277,Swellow,3,Normal,Swallow,2,Normal,Flying,0.7,19.8,2,Guts,None,Scrappy,455,60,85,60,75,50,125,45.0,70.0,159.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
336,278,Wingull,3,Normal,Seagull,2,Water,Flying,0.6,9.5,3,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85,190.0,70.0,54.0,Medium Fast,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
337,279,Pelipper,3,Normal,Water Bird,2,Water,Flying,1.2,28.0,3,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65,45.0,70.0,154.0,Medium Fast,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
338,280,Ralts,3,Normal,Feeling,2,Psychic,Fairy,0.4,6.6,3,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40,235.0,35.0,40.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
339,281,Kirlia,3,Normal,Emotion,2,Psychic,Fairy,0.8,20.2,3,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50,120.0,35.0,97.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
340,282,Gardevoir,3,Normal,Embrace,2,Psychic,Fairy,1.6,48.4,3,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80,45.0,35.0,233.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
341,282,Mega Gardevoir,3,Normal,Embrace,2,Psychic,Fairy,1.6,48.4,1,Pixilate,None,None,618,68,85,65,165,135,100,45.0,35.0,278.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
342,283,Surskit,3,Normal,Pond Skater,2,Bug,Water,0.5,1.7,2,Swift Swim,None,Rain Dish,269,40,30,32,50,52,65,200.0,70.0,54.0,Medium Fast,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
343,284,Masquerain,3,Normal,Eyeball,2,Bug,Flying,0.8,3.6,2,Intimidate,None,Unnerve,454,70,60,62,100,82,80,75.0,70.0,159.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
344,285,Shroomish,3,Normal,Mushroom,1,Grass,None,0.4,4.5,3,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35,255.0,70.0,59.0,Fluctuating,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
345,286,Breloom,3,Normal,Mushroom,2,Grass,Fighting,1.2,39.2,3,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70,90.0,70.0,161.0,Fluctuating,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0
346,287,Slakoth,3,Normal,Slacker,1,Normal,None,0.8,24.0,1,Truant,None,None,280,60,60,60,35,35,30,255.0,70.0,56.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
347,288,Vigoroth,3,Normal,Wild Monkey,1,Normal,None,1.4,46.5,1,Vital Spirit,None,None,440,80,80,80,55,55,90,120.0,70.0,154.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
348,289,Slaking,3,Normal,Lazy,1,Normal,None,2.0,130.5,1,Truant,None,None,670,150,160,100,95,65,100,45.0,70.0,252.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
349,290,Nincada,3,Normal,Trainee,2,Bug,Ground,0.5,5.5,2,Compound Eyes,None,Run Away,266,31,45,90,30,30,40,255.0,70.0,53.0,Erratic,1.0,2.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
